Tipo,Año Fab.,Marca,Modelo,Versión,Tasación,Valor Permiso,Antigüedad_Veh
SUV,2016,CHERY,TIGGO1,1.6 TIGGO 3 MT,5029229,69998,7
Sedán,2016,CHERY,ARRIZO7,CVT,6058309,90579,7
SUV,2017,CHERY,TIGGO3,GLX MT,5868164,86776,6
Hatchback,2017,CHERY,Coeficiente intelectual,1.0 GL MT,3190183,33217,6
Sedán,2017,CHERY,ARRIZO7,CVT,6596172,106125,6
SUV,2017,CHERY,TIGGO1,1.6 TIGGO 3 MT,5432693,78067,6
SUV,2017,CHERY,GRAN TIGGO,2.0 GLX CVT,7872245,144407,6
SUV,2017,CHERY,TIGGO3,CVT,5808009,85573,6
SUV,2017,CHERY,TIGGO,1.6 DVVT,4963549,68684,6
Hatchback,2017,CHERY,Coeficiente intelectual,1.0 GLS 2AB MT,3687476,43163,6
Hatchback,2017,CHERY,GOLPEAR,1.3 SW,4269215,54798,6
SUV,2017,CHERY,GRAN TIGGO,2.0 GLX,7356186,128925,6
Sedán,2017,CHERY,ARRIZO5,GLS CVT,6131810,92194,6
Sedán,2017,CHERY,ARRIZO3,GLS MT,4522553,59864,6
Sedán,2017,CHERY,ARRIZO5,GL MT,5282567,75065,6
Sedán,2018,CHERY,ARRIZO5,GLS MT,6117644,91769,5
SUV,2018,CHERY,GRAN TIGGO,2.0 GLS,7581375,135681,5
SUV,2018,CHERY,TIGGO 4,GLS CVT,7562689,135120,5
Sedán,2018,CHERY,ARRIZO5,GLS CVT,6708766,109503,5
Hatchback,2018,CHERY,FULWIN,"1,5 MT GLX",4883103,67075,5
SUV,2018,CHERY,TIGGO 4,GL MT,6557736,104972,5
Sedán,2018,CHERY,ARRIZO5,GLX MT,6708766,109503,5
Sedán,2018,CHERY,ARRIZO5,"1,5 MT L",5879412,87001,5
Sedán,2018,CHERY,ARRIZO3,GLX MT,5207504,73563,5
SUV,2018,CHERY,TIGGO 3,GLX MT,6889881,114936,5
Sedán,2018,CHERY,ARRIZO5,GL MT,5817392,85761,5
SUV,2018,CHERY,GRAN TIGGO,2.0 GLS CVT,8444601,161578,5
Sedán,2019,CHERY,ARRIZO5,GLS MT,6943339,116540,4
SUV,2019,CHERY,TIGGO2,GL MT,5995667,89327,4
SUV,2019,CHERY,TIGGO 4,GLS MT,7966074,147222,4
SUV,2019,CHERY,TIGGO 4,GLS CVT,8332006,158200,4
Sedán,2019,CHERY,ARRIZO5,GLS CVT,7675204,138496,4
SUV,2019,CHERY,TIGGO 7,GLS MT,9063872,180156,4
SUV,2019,CHERY,TIGGO 7,GLS DCT,10277893,216576,4
Sedán,2019,CHERY,ARRIZO5,GL MT,6849510,113725,4
Sedán,2019,CHERY,ARRIZO5,GLX MT,7675204,138496,4
SUV,2019,CHERY,TIGGO3,GLS MT,7037167,119355,4
Hatchback,2019,CHERY,FULWIN,"1,5 MT GLX",5348247,76378,4
SUV,2019,CHERY,TIGGO 3,GLX MT,7590758,135962,4
SUV,2019,CHERY,TIGGO 4,GL MT,7224825,124984,4
SUV,2019,CHERY,TIGGO2,GLX MT,6765064,111192,4
SUV,2019,CHERY,TIGGO 7,GLX MT,10518220,223786,4
SUV,2019,CHERY,TIGGO 7,GLX DCT,11081193,240675,4
SUV,2019,CHERY,TIGGO3,GLX MT,7403100,130333,4
SUV,2019,CHERY,TIGGO 4,GLX MT,9054489,179874,4
Hatchback,2019,CHERY,FULWIN,"1,5 2 GLX",5348247,76378,4
SUV,2020,CHERY,TIGGO 4,GL MT,7700000,139240,3
SUV,2020,CHERY,TIGGO 8,MONTE,8341671,158490,3
SUV,2020,CHERY,TIGGO3,GLS MT,8721183,169875,3
SUV,2020,CHERY,TIGGO 4,GLX DCT,9816849,202745,3
SUV,2020,CHERY,TIGGO2,GL MT,6390000,99940,3
SUV,2020,CHERY,TIGGO 4,GLS CVT,8880000,174640,3
SUV,2020,CHERY,TIGGO 8,GLS,10998254,238187,3
SUV,2020,CHERY,TIGGO 3,GLS MT,7328725,128101,3
SUV,2020,CHERY,TIGGO 4,GLX CVT,9640000,197440,3
Sedán,2020,CHERY,ARRIZO5,GLS MT,7582647,135719,3
SUV,2020,CHERY,TIGGO 4,GLX MT,9650000,197740,3
SUV,2020,CHERY,TIGGO 7,GLS DCT,10953867,236856,3
SUV,2020,CHERY,TIGGO2,GLX MT,7210000,124540,3
SUV,2020,CHERY,TIGGO 8,GLX DCT,12136790,272343,3
Sedán,2020,CHERY,ARRIZO3,GLS MT,5990000,89213,3
Sedán,2020,CHERY,ARRIZO3,GL,5700000,83413,3
Camioneta,2012,MITSUBISHI,L200,D / C TD DAKAR CRS EN 4X4,6802595,112317,11
Camioneta,2012,MITSUBISHI,L200,D / C TD KATANA CRL 4X4,5517139,79756,11
Sedán,2012,MITSUBISHI,LANCERO,R / S EN,4560085,60615,11
Camioneta,2012,MITSUBISHI,L200,CRM DE TRABAJO D / C TD 4X2,5188738,73188,11
Sedán,2012,MITSUBISHI,LANCERO,R / GT TE SP,6098878,91391,11
SUV,2012,MITSUBISHI,ASX,2WD EN GLX,5160589,72625,11
VAN,2012,MITSUBISHI,MONTERO,DEPORTE G2 MT 4X4,7684587,138777,11
VAN,2012,MITSUBISHI,MONTERO,DEPORTE G2 EN 4X4,8125583,152007,11
Hatchback,2012,MITSUBISHI,I-MIEV,VERSIÓN SIN,8575961,165518,11
VAN,2012,MITSUBISHI,L300,FURGON (EURO4),3452903,38471,11
Sedán,2012,MITSUBISHI,LANCERO,MT R / T,4520248,59818,11
Sedán,2012,MITSUBISHI,LANCERO,R / S MT,4475638,58926,11
SUV,2012,MITSUBISHI,ASX,2WD MT GL,4578850,60990,11
VAN,2012,MITSUBISHI,MONTERO,DEPORTE G2 2.5 MT,6690001,108940,11
VAN,2012,MITSUBISHI,MONTERO,MIVEC 4 PUERTAS,10049075,209712,11
Camioneta,2012,MITSUBISHI,L200,D / C TD KATANA CRM 4X4,5695414,83321,11
SUV,2012,MITSUBISHI,FORASTERO,K2 GL 4X2,5892455,87262,11
VAN,2012,MITSUBISHI,FORASTERO,K2 GLS 6AB 4X4,6633703,107251,11
SUV,2012,MITSUBISHI,MONTERO,CR 2 PUERTAS,8416452,160733,11
Sedán,2012,MITSUBISHI,LANCERO,MT R / S,4225261,53918,11
VAN,2013,MITSUBISHI,FORASTERO,K2 GLS,6864017,114160,10
Sedán,2013,MITSUBISHI,LANCERO,EN R / S,4804040,65494,10
Camioneta,2013,MITSUBISHI,L200,TRABAJO CRM,5647314,82359,10
SUV,2013,MITSUBISHI,ASX,2WD EN GLX,5601585,81445,10
Sedán,2013,MITSUBISHI,LANCERO,MT R / T,4888486,67183,10
SUV,2013,MITSUBISHI,ASX,MT GLS,5508120,79576,10
Sedán,2013,MITSUBISHI,LANCERO,CVT,5094448,71302,10
Sedán,2013,MITSUBISHI,LANCERO,MT R / S,4569467,60803,10
Sedán,2013,MITSUBISHI,LANCERO,GLX,4004633,49506,10
VAN,2013,MITSUBISHI,MONTERO,DEPORTE G2 3.5 EN GLX,7148224,122686,10
VAN,2013,MITSUBISHI,FORASTERO,K2 COMPLETO 4X4,7628290,137088,10
Camioneta,2013,MITSUBISHI,L200,DAKAR MT,8095066,151092,10
SUV,2013,MITSUBISHI,MONTERO,3.8C,10453302,221839,10
VAN,2013,MITSUBISHI,MONTERO,DEPORTE G2 2.5 AT,6717608,109768,10
SUV,2014,MITSUBISHI,ASX,2WD EN GLX,6202090,94302,9
VAN,2014,MITSUBISHI,FORASTERO,4X4 GLS,7779721,141631,9
VAN,2014,MITSUBISHI,MONTERO,DEPORTE G2 2.5 AT,7318654,127799,9
Hatchback,2014,MITSUBISHI,ESPEJISMO,GL,3241174,34237,9
VAN,2014,MITSUBISHI,L300,FURGON,4400575,57425,9
Camioneta,2014,MITSUBISHI,L200,D / C TD TRABAJO CR 4X2,5958135,88576,9
Sedán,2014,MITSUBISHI,LANCERO,MT R / S,4972932,68872,9
Camioneta,2014,MITSUBISHI,L200,TRABAJO CRM,6061347,90640,9
Camioneta,2014,MITSUBISHI,L200,KATANA CRT,7346803,128644,9
VAN,2014,MITSUBISHI,MONTERO,DEPORTE G2 2.5 MT 4X4,8904363,175370,9
VAN,2014,MITSUBISHI,MONTERO,DEPORTE G2 2.5 EN 4X4,9289061,186911,9
Sedán,2014,MITSUBISHI,LANCERO,CVT,5526522,79944,9
Camioneta,2014,MITSUBISHI,L200,KATANA CR,6305302,97399,9
VAN,2014,MITSUBISHI,MONTERO,DEPORTE G2 2.5 MT,7309271,127518,9
VAN,2015,MITSUBISHI,MONTERO,DEPORTE G2 2.5 MT,8285092,156792,8
VAN,2015,MITSUBISHI,MONTERO,DEPORTE G2 2.5 AT,8332006,158200,8
VAN,2015,MITSUBISHI,MONTERO,DEPORTE G2 2.5 EN 4X4,10152287,212808,8
SUV,2015,MITSUBISHI,FORASTERO,2.0 OUTLANDER PHEV,12981840,300068,8
Sedán,2015,MITSUBISHI,LANCERO,MT R / S,5404545,77504,8
VAN,2015,MITSUBISHI,FORASTERO,4X4 GLS,8491515,162985,8
SUV,2015,MITSUBISHI,FORASTERO,2.0 MT 4X2,6697527,109165,8
Sedán,2015,MITSUBISHI,LANCERO,EN R / S,5610968,81633,8
VAN,2015,MITSUBISHI,MONTERO,DEPORTE 2.5 EN GLS,11071810,240394,8
SUV,2015,MITSUBISHI,MONTERO,3.2C EN DIESEL,11831824,263194,8
VAN,2015,MITSUBISHI,FORASTERO,4X4 GLX,7778416,141592,8
SUV,2015,MITSUBISHI,FORASTERO,4X2,7112231,121607,8
Camioneta,2015,MITSUBISHI,L200,KATANA CR,7140379,122451,8
Camioneta,2015,MITSUBISHI,L200,KATANA CRT,7937925,146377,8
Hatchback,2015,MITSUBISHI,ESPEJISMO,VR,3368457,36782,8
VAN,2015,MITSUBISHI,MONTERO,DEPORTE G2 2.5 MT 4X4,9692525,199015,8
SUV,2016,MITSUBISHI,FORASTERO,2.0 MT 4X2,7299888,127236,7
Camioneta,2016,MITSUBISHI,L200,DAKAR M / T,11233405,245242,7
Hatchback,2016,MITSUBISHI,ESPEJISMO,GL,3987728,49168,7
Sedán,2016,MITSUBISHI,LANCERO,EN R / S,6370982,99369,7
Camioneta,2016,MITSUBISHI,L200,TRABAJO CR,8756076,170922,7
Sedán,2016,MITSUBISHI,LANCERO,1.8 AT,6920088,115842,7
Sedán,2016,MITSUBISHI,LANCERO,MT R / S,6014432,89702,7
VAN,2016,MITSUBISHI,MONTERO,"3,2 litros",14693606,368539,7
SUV,2016,MITSUBISHI,FORASTERO,4X2,7825330,143000,7
Camioneta,2016,MITSUBISHI,L200,KATANA CRT,10319356,217820,7
VAN,2016,MITSUBISHI,MONTERO,DEPORTE 3.0 4WD LIMITADO,14377840,355908,7
SUV,2016,MITSUBISHI,MONTERO,3.2C EN DIESEL,13239258,310365,7
Hatchback,2016,MITSUBISHI,ESPEJISMO,GLS,4391192,57237,7
VAN,2017,MITSUBISHI,MONTERO,DEPORTE 2.4 2WD MT,11090576,240957,6
Hatchback,2017,MITSUBISHI,ESPEJISMO,GL,4438107,58175,6
Camioneta,2017,MITSUBISHI,L200,2.4 DAKAR MT HP,13971123,339640,6
Camioneta,2017,MITSUBISHI,L200,KATANA CRT,11334531,248276,6
VAN,2017,MITSUBISHI,MONTERO,DEPORTE 2.4 2WD EN,11644166,257565,6
VAN,2017,MITSUBISHI,MONTERO,DEPORTE 2.4 4WD EN,14785380,372210,6
SUV,2017,MITSUBISHI,FORASTERO,4X2,8726088,170022,6
Sedán,2017,MITSUBISHI,LANCERO,1.8 AT,7534461,134273,6
VAN,2017,MITSUBISHI,MONTERO,DEPORTE 3.0 4WD LIMITADO,15885233,416204,6
VAN,2017,MITSUBISHI,FORASTERO,4X4 GLS,10902918,235327,6
Hatchback,2017,MITSUBISHI,ESPEJISMO,GLS,5010463,69622,6
Camioneta,2017,MITSUBISHI,L200,2.4 DAKAR EN HP,14637308,366287,6
Sedán,2017,MITSUBISHI,LANCERO,MT R / T,6989405,117922,6
Camioneta,2018,MITSUBISHI,L200,D / C 4X4 TD DAKAR CRS MT,14400357,356809,5
VAN,2018,MITSUBISHI,MONTERO,DEPORTE 2.4 2WD EN,12760730,291224,5
VAN,2018,MITSUBISHI,MONTERO,DEPORTE 3.0 2WD EN,14496565,360657,5
VAN,2018,MITSUBISHI,MONTERO,DEPORTE 3.0 4WD LIMITADO,17536621,482259,5
Camioneta,2018,MITSUBISHI,L200,KATANA CRT,12394798,280084,5
SUV,2018,MITSUBISHI,FORASTERO,4X2,9833269,203238,5
SUV,2018,MITSUBISHI,FORASTERO,2.0 MT 4X2,8988809,177904,5
Sedán,2018,MITSUBISHI,LANCERO,1.8 AT,8200646,154259,5
Camioneta,2018,MITSUBISHI,L200,KATANA CR,11456509,251935,5
Hatchback,2018,MITSUBISHI,ESPEJISMO,GLX,5432693,78067,5
SUV,2018,MITSUBISHI,FORASTERO,PHEV,20431183,598242,5
VAN,2012,SSANGYONG,STAVIC,ST 210,7159145,123014,11
SUV,2012,SSANGYONG,KYRON,XDI 4X2,5779860,85010,11
SUV,2012,SSANGYONG,REXTON,II XDI EN,7384334,129770,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4x4 AC,5273184,74877,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X2 AAC LL18,6389748,99932,11
SUV,2012,SSANGYONG,KORANDO,XDI 4X4 (KC 2223),6183324,93739,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X4 AC ABS 2AB,5667266,82759,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X2 AC LL,5104292,71499,11
SUV,2012,SSANGYONG,KORANDO,XDI 4X2 (KC 2110),4850954,66432,11
SUV,2012,SSANGYONG,KORANDO,GAS 4X2 AB LL,4425167,57917,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X2 2AB ABS LL TE,6345428,98602,11
VAN,2012,SSANGYONG,STAVIC,ST 301,6155176,92895,11
SUV,2012,SSANGYONG,KYRON,XDI 4X2,5216887,73751,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X2 AC ABS 2AB,5282567,75065,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X4 AC LL,5273184,74877,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X4 AAC LL18,6765064,111192,11
SUV,2012,SSANGYONG,KORANDO,XDI 4X2 (KC 2210),5263801,74689,11
SUV,2012,SSANGYONG,KYRON,XDI 4X4 TC,6577406,105562,11
SUV,2012,SSANGYONG,KORANDO,XDI 4X4 (KC2122),5657883,82571,11
SUV,2012,SSANGYONG,KORANDO,GAS 4X2 2AB ABS LL,4781615,65046,11
SUV,2012,SSANGYONG,KYRON,XDI 4X4,5667266,82759,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X2 2AB ABS LL,6432951,101228,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X4 2AB ABS LL,6791795,111993,11
SUV,2012,SSANGYONG,KORANDO,GAS 4X4 2AB ABS LL,4964186,68697,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X2 AC,4850954,66432,11
SUV,2012,SSANGYONG,REXTON,II XDI EN TC,7891010,144970,11
Camioneta,2012,SSANGYONG,A. DEPORTES,4X2 AB LL,6004088,89495,11
Camioneta,2013,SSANGYONG,A. DEPORTES,4X2 AC ABS 2AB,5892455,87262,10
SUV,2013,SSANGYONG,KYRON,XDI 4X4 TC,7262357,126110,10
SUV,2013,SSANGYONG,REXTON,4x4 MT,6582030,105701,10
VAN,2013,SSANGYONG,STAVIC,MT 4X2,6622873,106926,10
SUV,2013,SSANGYONG,KORANDO,XDI 4X4 (KC 2223),6905807,115414,10
SUV,2013,SSANGYONG,KORANDO,GAS 4X4 2AB ABS LL,5357630,76566,10
SUV,2013,SSANGYONG,REXTON,II XDI MT,6905807,115414,10
VAN,2013,SSANGYONG,STAVIC,EN AWD,7759699,141031,10
Camioneta,2013,SSANGYONG,A. DEPORTES,4X4 AC LL,5883072,87075,10
SUV,2013,SSANGYONG,KORANDO,XDI 4X2 (KC 2211),6108261,91578,10
Camioneta,2013,SSANGYONG,A. DEPORTES,4X4 AC ABS 2AB,6202090,94302,10
VAN,2013,SSANGYONG,STAVIC,EN 4X2,7130999,122170,10
VAN,2013,SSANGYONG,STAVIC,ST 201,6999636,118229,10
SUV,2013,SSANGYONG,KYRON,XDI 4X2,6436662,101339,10
Camioneta,2013,SSANGYONG,A. DEPORTES,4X2 AC,5329481,76003,10
SUV,2013,SSANGYONG,KORANDO,XDI 4X4 (KC2122),6239622,95428,10
SUV,2013,SSANGYONG,KORANDO,XDI 4X2 (KC 2210),5761094,84635,10
SUV,2013,SSANGYONG,KORANDO,GAS 4X2 AB LL,4775891,64931,10
SUV,2013,SSANGYONG,REXTON,4X2 MT,6088377,91181,10
SUV,2014,SSANGYONG,KORANDO,XDI 4X4 (KC 2223),7515695,133710,9
Camioneta,2014,SSANGYONG,A. DEPORTES,4X4 AC LL,6483577,102747,9
VAN,2014,SSANGYONG,STAVIC,EN 4X2,7769033,141311,9
SUV,2014,SSANGYONG,REXTON,4X4 COMPLETO,9654994,197889,9
SUV,2014,SSANGYONG,REXTON,4X2 MT,6596172,106125,9
Camioneta,2014,SSANGYONG,A. DEPORTES,4X2 2AB ABS LL TE,7571992,135399,9
SUV,2014,SSANGYONG,KORANDO,XDI 4X2 (KC 2210),6230239,95147,9
VAN,2014,SSANGYONG,STAVIC,MT 4X2 11 COMO,7450015,131740,9
VAN,2014,SSANGYONG,STAVIC,MT 4X2,7215442,124703,9
SUV,2014,SSANGYONG,KORANDO,EN 4X2 GAS,5698334,83380,9
Camioneta,2014,SSANGYONG,A. DEPORTES,4X2 AC,5789243,85198,9
Camioneta,2014,SSANGYONG,A. DEPORTES,4X2 AC ABS 2AB,6502343,103310,9
SUV,2014,SSANGYONG,KORANDO,A GAS COMPLETO 4X4,6493852,103055,9
SUV,2014,SSANGYONG,KORANDO,XDI 4X2 (KC 2110),5826775,85949,9
SUV,2014,SSANGYONG,REXTON,4X4 EN SEMI FULL,8510281,163540,9
Camioneta,2015,SSANGYONG,A. DEPORTES,4X4 AC LL,7121613,121888,8
SUV,2015,SSANGYONG,REXTON,4X4 COMPLETO,10527603,224068,8
SUV,2015,SSANGYONG,REXTON,4X2 MT,7215442,124703,8
SUV,2015,SSANGYONG,TIVOLI,1.6 4X2 EN COMPLETO TV1111,7041873,119496,8
SUV,2015,SSANGYONG,REXTON,4X4 EN SEMI FULL,9373507,189445,8
SUV,2015,SSANGYONG,TIVOLI,1.6 4X2 MT COMPLETO TV1011,6129357,92120,8
Camioneta,2015,SSANGYONG,A. DEPORTES,4X2 AC,6305302,97399,8
SUV,2015,SSANGYONG,KORANDO,XDI 4X4 (KC2122),7496929,133147,8
SUV,2015,SSANGYONG,KORANDO,2.0 MT 4X2 KC1010,6137966,92379,8
VAN,2015,SSANGYONG,STAVIC,MT 4X2,7900393,145251,8
Camioneta,2015,SSANGYONG,A. DEPORTES,4X2 AC ABS 2AB,7252974,125829,8
SUV,2015,SSANGYONG,KORANDO,2.0 KC1111,7016048,118721,8
Camioneta,2016,SSANGYONG,A. DEPORTES,4X2 AC,7159145,123014,7
SUV,2016,SSANGYONG,KORANDO,2.0 KC1111,7647055,137651,7
SUV,2016,SSANGYONG,KORANDO,2.0 MT 4X2 KC1011,7121613,121888,7
SUV,2016,SSANGYONG,TIVOLI,1.6 4X2 MT GAS LLENO,7477071,132552,7
SUV,2016,SSANGYONG,TIVOLI,1.6 DIESEL,8165408,153202,7
SUV,2016,SSANGYONG,XLV,1.6 XLV 1011,8053554,149846,7
SUV,2016,SSANGYONG,XLV,1.6 XLV 2111 DIESEL,8724683,169980,7
Camioneta,2016,SSANGYONG,A. DEPORTES,4X2 AC LL,7525078,133992,7
SUV,2016,SSANGYONG,KORANDO,XDI 4X2 (KC 2211),8425835,161015,7
SUV,2016,SSANGYONG,XLV,1.6 XLV 1110,7898678,145200,7
Camioneta,2016,SSANGYONG,A. DEPORTES,4X2 2AB ABS LL TE,9964629,207178,7
SUV,2016,SSANGYONG,REXTON,4X2 EN,8791768,171993,7
SUV,2016,SSANGYONG,XLV,1.6 XLV 1111,8630037,167141,7
SUV,2016,SSANGYONG,XLV,1.6 XLV 2110 DIESEL,8423535,160946,7
SUV,2016,SSANGYONG,KORANDO,XDI 4X2 (KC 2111),7778416,141592,7
SUV,2016,SSANGYONG,KORANDO,XDI 4X2 (KC 2210),7656438,137933,7
Camioneta,2016,SSANGYONG,A. DEPORTES,4x4 AC,7844096,143562,7
VAN,2016,SSANGYONG,STAVIC,2.2 AWD COMPLETO,12042397,269512,7
SUV,2016,SSANGYONG,KORANDO,XDI 4X2 (KC 2110),7130996,122169,7
SUV,2016,SSANGYONG,KORANDO,EN 4X2 GAS,7027785,119073,7
SUV,2016,SSANGYONG,XLV,1.6 XLV 2210 DIESEL,8655849,167915,7
SUV,2017,SSANGYONG,KORANDO,XDI 4X2 (KC 2210),8707322,169459,6
SUV,2017,SSANGYONG,REXTON,4X4 COMPLETO,13323704,313743,6
SUV,2017,SSANGYONG,KORANDO,2.0 MT 4X2 KC1011,8200646,154259,6
SUV,2017,SSANGYONG,XLV,1.6 XLV 1011,8782385,171711,6
SUV,2017,SSANGYONG,XLV,1.6 XLV 2210 DIESEL,9439187,191415,6
SUV,2017,SSANGYONG,XLV,1.6 XLV 2211 DIESEL,9992778,208023,6
SUV,2017,SSANGYONG,KORANDO,XDI 4X2 (KC 2110),8425835,161015,6
SUV,2017,SSANGYONG,KORANDO,2.0 KC1111,8688556,168896,6
SUV,2017,SSANGYONG,KORANDO,XDI 4X2 (KC 2211),9523633,193949,6
SUV,2017,SSANGYONG,TIVOLI,1.6 AWD MT COMPLETO,10706827,229444,6
SUV,2017,SSANGYONG,REXTON,4x4 MT,10002161,208304,6
Camioneta,2017,SSANGYONG,A. DEPORTES,2.2 MT 4X2 COMPLETO,10391547,219986,6
SUV,2017,SSANGYONG,TIVOLI,1.6 4X2 MT COMPLETO TV1011,7647055,137651,6
SUV,2017,SSANGYONG,XLV,1.6 XLV 1010,7900393,145251,6
Camioneta,2017,SSANGYONG,A. DEPORTES,2.2 MT 4X4 SEMI COMPLETO,10185774,213813,6
SUV,2017,SSANGYONG,XLV,1.6 XLV 1110,8613493,166644,6
Camioneta,2017,SSANGYONG,A. DEPORTES,2.2 MT SEMI COMPLETO,9705636,199409,6
Camioneta,2017,SSANGYONG,A. DEPORTES,4X2 AC,8247560,155666,6
Camioneta,2017,SSANGYONG,A. DEPORTES,4x4 AC,8988809,177904,6
SUV,2017,SSANGYONG,XLV,1.6 XLV 2111 DIESEL,9514250,193667,6
VAN,2017,SSANGYONG,STAVIC,2.0 NST,10874769,234483,6
Camioneta,2018,SSANGYONG,A. DEPORTES,2.2 MT SEMI COMPLETO,10621431,226883,5
VAN,2018,SSANGYONG,STAVIC,MT 4X2 9 ASIENTOS,12207140,274454,5
SUV,2018,SSANGYONG,XLV,1.6 XLV 2110 DIESEL,9955246,206897,5
SUV,2018,SSANGYONG,REXTON,2.2 MT 4X4 COMPLETO,13311354,313249,5
SUV,2018,SSANGYONG,KORANDO,EN 4X2 GAS,9129552,182126,5
SUV,2018,SSANGYONG,TIVOLI,1.6 4X2 EN COMPLETO TV1111,9392273,190008,5
SUV,2018,SSANGYONG,TIVOLI,1.6 4X2 EN DIESEL,10640197,227446,5
SUV,2018,SSANGYONG,XLV,1.6 XLV 1010,8707322,169459,5
SUV,2018,SSANGYONG,XLV,1.6 XLV 2210 DIESEL,10593283,226038,5
SUV,2018,SSANGYONG,KORANDO,XDI 4X4 (KC 2223),12216523,274735,5
SUV,2018,SSANGYONG,STAVIC,4X2 EN,14367405,355491,5
SUV,2018,SSANGYONG,REXTON,2.2 EN 4X4 SEMI COMPLETO,15925932,417832,5
Camioneta,2018,SSANGYONG,A. DEPORTES,4X4 2AB ABS LL TE,12563690,285150,5
SUV,2018,SSANGYONG,REXTON,4X4 EN SEMI FULL,13980506,340015,5
Camioneta,2018,SSANGYONG,A. DEPORTES,2.2 MT 4X4,12472346,282410,5
Camioneta,2018,SSANGYONG,A. DEPORTES,2.0 AL COMPLETO,11678962,258608,5
Camioneta,2018,SSANGYONG,A. DEPORTES,2.2 MT 4X2 COMPLETO,11372063,249401,5
SUV,2018,SSANGYONG,KORANDO,XDI 4X2 (KC 2111),10255499,215905,5
SUV,2018,SSANGYONG,XLV,1.6 XLV 1011,9523633,193949,5
Camioneta,2018,SSANGYONG,A. DEPORTES,4X2 AC,9504868,193386,5
SUV,2018,SSANGYONG,REXTON,4X2 EN,11906887,265446,5
SUV,2018,SSANGYONG,REXTON,2.2 EN 4X4 COMPLETO,19264417,551371,5
SUV,2018,SSANGYONG,REXTON,2.0 MT 4X2 ESTÁNDAR,12153105,272833,5
SUV,2018,SSANGYONG,REXTON,2.0 EN 4X2 STD,12323435,277943,5
SUV,2018,SSANGYONG,TIVOLI,1.6 4X2 MT STD TV1010,7750267,140748,5
SUV,2018,SSANGYONG,XLV,1.6 XLV 1110,9467336,192260,5
Camioneta,2018,SSANGYONG,A. DEPORTES,2.2 AL COMPLETO,13229875,309990,5
SUV,2018,SSANGYONG,KORANDO,2.2 MT 4X2,9814503,202675,5
SUV,2018,SSANGYONG,TIVOLI,1.6 4X2 EN STD TV1110,8519664,163830,5
SUV,2018,SSANGYONG,REXTON,2.2 EN 4X2 STD,14103392,344930,5
VAN,2018,SSANGYONG,STAVIC,2.2 AWD COMPLETO,15303493,392934,5
SUV,2018,SSANGYONG,KORANDO,2.0 MT 4X2 KC1011,9373507,189445,5
SUV,2018,SSANGYONG,KORANDO,XDI 4X2 (KC 2211),10968598,237298,5
SUV,2019,SSANGYONG,TIVOLI,1.6 AWD EN GAS,11456509,251935,4
Camioneta,2019,SSANGYONG,A. DEPORTES,2.2 MT 4X2 COMPLETO,12863942,295352,4
SUV,2019,SSANGYONG,REXTON,2.2 MT 4X4 COMPLETO,16617098,445479,4
Camioneta,2019,SSANGYONG,MUSSO,2.2 4X4 MT SEMIFULLIDO,15420023,397596,4
Camioneta,2019,SSANGYONG,A. DEPORTES,4X2 AC ABS 2AB,12272820,276424,4
SUV,2019,SSANGYONG,KORANDO,2.0 MT 4X2 KC1011,11193788,244053,4
SUV,2019,SSANGYONG,XLV,1.6 XLV 1010,9795737,202112,4
VAN,2019,SSANGYONG,STAVIC,MT 4X2 9 ASIENTOS,14252610,350899,4
VAN,2019,SSANGYONG,STAVIC,ST 301,12685774,288813,4
SUV,2019,SSANGYONG,KORANDO,XDI 4X2 (KC 2211),12967154,299481,4
SUV,2019,SSANGYONG,REXTON,2.2 MT 4X4 COMPLETO,14665457,367413,4
SUV,2019,SSANGYONG,TIVOLI,1.6 4X2 EN COMPLETO TV1111,10602666,226320,4
SUV,2019,SSANGYONG,KORANDO,XDI 4X2 (KC 2110),11587869,255876,4
SUV,2019,SSANGYONG,REXTON,4X4 COMPLETO,17733662,490141,4
SUV,2019,SSANGYONG,REXTON,2.0 MT 4X2 ESTÁNDAR,13389384,316370,4
VAN,2019,SSANGYONG,STAVIC,ST 210,15642663,406501,4
VAN,2019,SSANGYONG,STAVIC,MT 4X2,13642722,326503,4
Camioneta,2019,SSANGYONG,A. DEPORTES,4X2 AC,10734026,230260,4
SUV,2019,SSANGYONG,TIVOLI,4X2 EN STD,10330562,218156,4
Camioneta,2019,SSANGYONG,A. DEPORTES,2.2 MT 4X2 DIESEL 1AB,10791794,231993,4
Camioneta,2019,SSANGYONG,A. DEPORTES,2.2 EN 4X4 COMPLETO,16269931,431592,4
SUV,2019,SSANGYONG,KORANDO,2.2 MT 4X2,11775527,261505,4
